c,i,id,l1_c,l1_i,language,type,code
suggest,propose,person_624,предложить,предлагаем,Russian,RV,ru
think,suppose,person_624,думаю,предположим,Russian,RV,ru
public,people,person_624,общественности,людей,Russian,RN,ru
sincerely,faithfully,person_624,искренне,добросовестно,Russian,RY,ru
familiar,common,person_624,знакомы,общие,Russian,RJ,ru
do,make,person_624,сделать,сделать,Russian,RV,ru
acquiring,getting,person_342,приобретения,получение,Russian,RV,ru
dance,dancing,person_342,танец,танцы,Russian,RN,ru
sincerely,faithfully,person_342,искренне,добросовестно,Russian,RY,ru
person,man,person_342,человека,человек,Russian,RN,ru
talk,speak,person_2251,говорить,говорить,Russian,RV,ru
normal,usual,person_2251,нормальной,обычно,Russian,RJ,ru
opportunity,possibility,person_1003,возможность,возможность,Russian,RN,ru
really,extremely,person_1003,действительно,чрезвычайно,Russian,RY,ru
have,make,person_1003,иметь,сделать,Russian,RV,ru
Also,Then,person_1003,также,затем,Russian,RY,ru
Also,Then,person_1003,также,затем,Russian,RY,ru
have,make,person_1003,иметь,сделать,Russian,RV,ru
wait,stay,person_1003,подожди,остаться,Russian,RV,ru
premises,territory,person_1003,помещения,территории,Russian,RN,ru
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru
have,make,person_257,иметь,сделать,Russian,RV,ru
wanted,could,person_257,хотел,мог,Russian,RV,ru
learned,knew,person_257,узнал,знал,Russian,RV,ru
work,job,person_257,работы,работу,Russian,RN,ru
talk,tell,person_257,говорить,сказать,Russian,RV,ru
very,so,person_1852,очень,так,Russian,RY,ru
faraway,far,person_1852,далекие,далеко,Russian,RJ,ru
very,too,person_1852,очень,слишком,Russian,RY,ru
ordinary,common,person_1852,обычные,общие,Russian,RJ,ru
get,have,person_1852,получить,иметь,Russian,RV,ru
create,make,person_1852,создать,сделать,Russian,RV,ru
attended,visited,person_458,присутствовал,посетили,Russian,RV,ru
think,suppose,person_458,думаю,предположим,Russian,RV,ru
made,done,person_458,сделал,сделано,Russian,RV,ru
could,may,person_458,мог,мая,Russian,RV,ru
number,amount,person_458,номер,сумма,Russian,RN,ru
attended,seen,person_1494,присутствовал,видел,Russian,RV,ru
holding,making,person_1494,холдинг,делает,Russian,RV,ru
got,go,person_1494,получил,пойти,Russian,RV,ru
FALSE,WRONG,person_546,ложных,неверной,Russian,RJ,ru
cast,actors,person_546,литой,актеры,Russian,RN,ru
appear,play,person_546,появляются,играть,Russian,RV,ru
enclosed,included,person_546,закрытых,включены,Russian,RJ,ru
helpful,convenient,person_546,полезная,удобно,Russian,RJ,ru
take,deliver,person_546,принять,доставить,Russian,RV,ru
sit,seat,person_2296,сидеть,сиденье,Russian,RV,ru
change,turn,person_2296,изменить,превратить,Russian,RV,ru
channels,chances,person_2296,каналами,шансы,Russian,RV,ru
prevent,stop,person_2296,предотвратить,остановить,Russian,RV,ru
act,play,person_1400,действовать,играть,Russian,RV,ru
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru
draw,make,person_1400,нарисовать,сделать,Russian,RV,ru
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru
illegitimate,illegal,person_609,нелегитимными,незаконной,Russian,RJ,ru
without,not,person_2709,без,не,Russian,RY,ru
organisation,arrangement,person_1943,организации,договоренности,Russian,RN,ru
said,saw,person_1943,сказал,видел,Russian,RV,ru
acting,play,person_1981,действуя,игры,Russian,RN,ru
operating,entering,person_1981,рабочая,ввода,Russian,RV,ru
show,program,person_2380,шоу,программа,Russian,RN,ru
dinner,diner,person_2380,ужин,закусочная,Russian,RN,ru
aim,reason,person_2380,цель,причина,Russian,RN,ru
delighted,delightful,person_2380,восторге,восхитительный,Russian,RJ,ru
history,historical,person_2380,истории,исторические,Russian,RJ,ru
live,leave,person_2380,жить,оставить,Russian,RV,ru
go,do,person_2380,пойти,сделать,Russian,RV,ru
imaginations,fantasy,person_874,воображение,фантазии,Russian,RN,ru
come,become,person_1528,прийти,стать,Russian,RV,ru
learn,know,person_1528,узнать,знаю,Russian,RV,ru
do,make,person_1528,сделать,сделать,Russian,RV,ru
remote,distant,person_283,удаленного,далекой,Russian,RJ,ru
communication,relations,person_283,коммуникации,отношения,Russian,RN,ru
went,got,person_2631,пошел,получил,Russian,RV,ru
amusing,amazing,person_1847,забавно,удивительные,Russian,RJ,ru
get,have,person_1847,получить,иметь,Russian,RV,ru
thing,point,person_1847,вещь,точки,Russian,RN,ru
also,again,person_1847,также,снова,Russian,RY,ru
party,holiday,person_1672,вечеринка,праздник,Russian,RN,ru
make,do,person_248,сделать,сделать,Russian,RV,ru
disappointed,disappointing,person_2012,разочарован,разочарование,Russian,RJ,ru
show,presentation,person_2012,шоу,презентации,Russian,RN,ru
wasn't,didn't,person_2012,не,не,Russian,RV,ru
