case_id,i_nn_1,i_nn_2,i_nn_3,i_nn_4,i_nn_5,i_nn_6,i_nn_7,i_nn_8,i_nn_9,i_nn_10,c_nn_1,c_nn_2,c_nn_3,c_nn_4,c_nn_5,c_nn_6,c_nn_7,c_nn_8,c_nn_9,c_nn_10,l1_i_nn_1,l1_i_nn_2,l1_i_nn_3,l1_i_nn_4,l1_i_nn_5,l1_i_nn_6,l1_i_nn_7,l1_i_nn_8,l1_i_nn_9,l1_i_nn_10,l1_c_nn_1,l1_c_nn_2,l1_c_nn_3,l1_c_nn_4,l1_c_nn_5,l1_c_nn_6,l1_c_nn_7,l1_c_nn_8,l1_c_nn_9,l1_c_nn_10
case_0001,project,projects.They,projects.These,projects.The,projects.So,projects.This,Projects,projects--,projects.Some,projecs,plan,Plans,plans.The,plans.This,plans.So,plans.But,plans.As,planned,plans.I,plans.And,Projectes,projectes1,treballs,-projectes,macroprojectes,porjectes,projecte,projectes.I,proyectes,pojectes,deplans,contraplans,plans.,geoplans,Replans,pla,Roplans,Geoplans,plans-seqüències,planejaments
case_0222,begins,Starts,start,goes,commences,stops,ends,starts.The,starts.This,begans,star,stars.The,stars.This,stars.,stars.It,stars.But,stars.I,stars.And,stars.As,stars.So,acaba,Comença,comencen,començar.A,inicia,començarà,començar,començará,comença.,recomença,estels,estrelles4,estrelles.,exestrelles,Estrelles,estreles,estrella,27estrelles,súper-estrelles,estrelle
case_0221,hrs,hour,days,hours.So,minutes,hours.As,hours.The,hours--and,hours.And,hours.It,day,period,time.This,time.Now,time.But,tiem,time.However,tme,moment,time.So,hores.Al,hores.I,hores.Ja,hores10,hores.Ara,hores21,hores.16,hores26,hores.,hores25,temps.He,temps.És,tempsxtemps,temps.Hi,temps.Al,temps.I,temps.Fa,temps.2,temps.Bé,temps.Va
case_0220,folllowing,follwing,folowing,Following,follwoing,followng,folloing,ollowing,followiing,followed,going,comming,come,comng,Coming,comimg,comig,comign,comeing,came,sigüents,egüents,elssegüents,següents.,següentsː,tres,seüents,güents,següentes,quatre,anant,venint-me,Venint,venir,venint-se,entrant,venint-nos,venia,vingut,sortint
case_0219,materials,material.This,material.The,materal,material.It,materail,material.If,material.As,material--,material.I,equipments,equpment,equipement,equiptment,equpiment,eqipment,equiment,equipment.As,equipment.It,equipment.,materials,material.En,material.I,materialístic,material.,tècnic-material,17material,-material,materiala,materialsla,equip.El,equip.A,equip.L,equip.En,equip.I,equip.La,equip.Es,equip.,lequip,equip.De
case_0218,Hot,hot-,-hot,swelteringly,super-hot,scorchingly,hot-hot,steamy,scorching,semi-hot,colder,chillier,cooler,Warmer,balmier,sunnier,warmer.,drier,warm,wetter,calor.,calor-,calor.L,calor.Un,calorA,calor.-,calorLa,calor-fred,fred-calor,calor.I,càlid-,càlid.,semicàlid,calorós,càlid-humit,càlida,càlid-fred,Càlid,càlid-temperat,humit
case_0217,devotedly,diligently,conscientiously,dutifully,faithful,Faithfully,slavishly,assiduously,zealously,obediently,sincerly,sincerley,sincere,SINCERELY,fervently,hope,appreciate,earnestly,genuinely,heartfully,fidel,fidel-,infidelment,Fidelment,escrupolosament,escrupulosament,servilment,seguint,rigurosament,acuradament,crec,-sincerament,Sincerament,sincerament.,penso,sincerament-,Crec,sinceramente,.Sincerament,evidentment
case_0216,Economical,cost-effective,cost-efficient,inexpensive,cost-friendly,efficient,affordable,practical,in-expensive,economically,finanical,finacial,fiancial,finanicial,non-financial,ﬁnancial,inancial,finanacial,economic,Financial,-econòmica,econòmica.L,socieconòmica,econòmica.A,polític-econòmica,econòmica.-,econòmica.,econòmica-financera,geo-econòmica,financera,econòmica,econòmica-financera,econòmico-financera,financera-,econòmicofinancera,econòmic-financera,econòmica.L,economicofinancera,creditícia,-econòmica
case_0223,freedoms,freedon,liberty,freedom.The,freedom.But,freedome,feedom,freedom.This,freedom.I,freedom.And,independance,independency,indpendence,independence.The,independence.,indepence,independence-,independece,independence.It,independence.In,lllibertat,llibertat.De,llibertat.A,llibertat.L,libertat,llibertat.I,llibertat.La,llibertat.És,llibertats,-llibertat,laindependència,independència.,pre-independència,independència.L,independència.I,independència.És,indepedència,independència.A,post-independència,independènciai
case_0215,is,will,not,should,able,thbe,so,may,can,might,Do,go,'t,want,don,know,so,if,I,think,sigut,ésser,resultar,YVE,sci-hub.ac,haver,esdevenir,fou,estat,estar,fer-hi,fer-se,realitzar,servir,fent,fer-ne,fer-mos,fer-ser,fer-li,fer-Io
