c,i,id,l1_c,l1_i,language,type
suggest,propose,person_624,предложить,предлагаем,Russian,RV
think,suppose,person_624,думаю,предположим,Russian,RV
public,people,person_624,общественности,людей,Russian,RN
sincerely,faithfully,person_624,искренне,добросовестно,Russian,RY
familiar,common,person_624,знакомы,общие,Russian,RJ
do,make,person_624,сделать,сделать,Russian,RV
acquiring,getting,person_342,приобретения,получение,Russian,RV
dance,dancing,person_342,танец,танцы,Russian,RN
sincerely,faithfully,person_342,искренне,добросовестно,Russian,RY
person,man,person_342,человека,человек,Russian,RN
talk,speak,person_2251,говорить,говорить,Russian,RV
normal,usual,person_2251,нормальной,обычно,Russian,RJ
opportunity,possibility,person_1003,возможность,возможность,Russian,RN
really,extremely,person_1003,действительно,чрезвычайно,Russian,RY
have,make,person_1003,иметь,сделать,Russian,RV
Also,Then,person_1003,также,затем,Russian,RY
Also,Then,person_1003,также,затем,Russian,RY
have,make,person_1003,иметь,сделать,Russian,RV
wait,stay,person_1003,подожди,остаться,Russian,RV
premises,territory,person_1003,помещения,территории,Russian,RN
Also,Besides,person_350,также,кроме того,Russian,RY
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ
have,make,person_257,иметь,сделать,Russian,RV
wanted,could,person_257,хотел,мог,Russian,RV
learned,knew,person_257,узнал,знал,Russian,RV
work,job,person_257,работы,работу,Russian,RN
talk,tell,person_257,говорить,сказать,Russian,RV
very,so,person_1852,очень,так,Russian,RY
faraway,far,person_1852,далекие,далеко,Russian,RJ
very,too,person_1852,очень,слишком,Russian,RY
ordinary,common,person_1852,обычные,общие,Russian,RJ
get,have,person_1852,получить,иметь,Russian,RV
create,make,person_1852,создать,сделать,Russian,RV
attended,visited,person_458,присутствовал,посетили,Russian,RV
country's,county's,person_458,загородных,,Russian,RN
think,suppose,person_458,думаю,предположим,Russian,RV
made,done,person_458,сделал,сделано,Russian,RV
could,may,person_458,мог,мая,Russian,RV
number,amount,person_458,номер,сумма,Russian,RN
attended,seen,person_1494,присутствовал,видел,Russian,RV
holding,making,person_1494,холдинг,делает,Russian,RV
got,go,person_1494,получил,пойти,Russian,RV
FALSE,WRONG,person_546,ложных,неверной,Russian,RJ
cast,actors,person_546,литой,актеры,Russian,RN
appear,play,person_546,появляются,играть,Russian,RV
enclosed,included,person_546,закрытых,включены,Russian,RJ
helpful,convenient,person_546,полезная,удобно,Russian,RJ
take,deliver,person_546,принять,доставить,Russian,RV
sit,seat,person_2296,сидеть,сиденье,Russian,RV
change,turn,person_2296,изменить,превратить,Russian,RV
channels,chances,person_2296,каналами,шансы,Russian,RV
prevent,stop,person_2296,предотвратить,остановить,Russian,RV
act,play,person_1400,действовать,играть,Russian,RV
ordinary,common,person_1400,обычные,общие,Russian,RJ
draw,make,person_1400,нарисовать,сделать,Russian,RV
ordinary,common,person_1400,обычные,общие,Russian,RJ
illegitimate,illegal,person_609,нелегитимными,незаконной,Russian,RJ
without,not,person_2709,без,не,Russian,RY
organisation,arrangement,person_1943,организации,договоренности,Russian,RN
said,saw,person_1943,сказал,видел,Russian,RV
acting,play,person_1981,действуя,игры,Russian,RN
operating,entering,person_1981,рабочая,ввода,Russian,RV
show,program,person_2380,шоу,программа,Russian,RN
dinner,diner,person_2380,ужин,закусочная,Russian,RN
aim,reason,person_2380,цель,причина,Russian,RN
delighted,delightful,person_2380,восторге,восхитительный,Russian,RJ
history,historical,person_2380,истории,исторические,Russian,RJ
live,leave,person_2380,жить,оставить,Russian,RV
go,do,person_2380,пойти,сделать,Russian,RV
imaginations,fantasy,person_874,воображение,фантазии,Russian,RN
come,become,person_1528,прийти,стать,Russian,RV
learn,know,person_1528,узнать,знаю,Russian,RV
do,make,person_1528,сделать,сделать,Russian,RV
remote,distant,person_283,удаленного,далекой,Russian,RJ
communication,relations,person_283,коммуникации,отношения,Russian,RN
went,got,person_2631,пошел,получил,Russian,RV
amusing,amazing,person_1847,забавно,удивительные,Russian,RJ
get,have,person_1847,получить,иметь,Russian,RV
thing,point,person_1847,вещь,точки,Russian,RN
also,again,person_1847,также,снова,Russian,RY
Also,Besides,person_1672,также,кроме того,Russian,RY
party,holiday,person_1672,вечеринка,праздник,Russian,RN
make,do,person_248,сделать,сделать,Russian,RV
disappointed,disappointing,person_2012,разочарован,разочарование,Russian,RJ
show,presentation,person_2012,шоу,презентации,Russian,RN
wasn't,didn't,person_2012,не,не,Russian,RV
forced,made,person_2012,принудительный,сделал,Russian,RV
waste,waist,person_2012,отходов,талии,Russian,RN
imagine,think,person_2012,представить,думаю,Russian,RV
might,can,person_2012,может,может,Russian,RV
valid,available,person_1334,действительны,доступны,Russian,RJ
delayed,postpone,person_1334,отложено,отложить,Russian,RV
have,got,person_1334,иметь,получил,Russian,RV
get,become,person_1334,получить,стать,Russian,RV
form,way,person_1334,формы,путь,Russian,RN
As,how,person_892,как,как,Russian,RY
star,play,person_892,звездочные,играть,Russian,RV
act,play,person_892,действовать,играть,Russian,RV
acted,played,person_892,действовал,проиграна,Russian,RV
got,came,person_892,получил,пришел,Russian,RV
