c,i,id,l1_c,l1_i,language,type,code,english_overlap
suggest,propose,person_624,предложить,предлагаем,Russian,RV,ru,0.6803127316067683
think,suppose,person_624,думаю,предположим,Russian,RV,ru,0.699296005270176
public,people,person_624,общественности,людей,Russian,RN,ru,0.4494217772875274
sincerely,faithfully,person_624,искренне,добросовестно,Russian,RY,ru,0.543266468432588
familiar,common,person_624,знакомы,общие,Russian,RJ,ru,0.5696577465074079
do,make,person_624,сделать,сделать,Russian,RV,ru,0.5861963999957747
acquiring,getting,person_342,приобретения,получение,Russian,RV,ru,0.4943462939680761
dance,dancing,person_342,танец,танцы,Russian,RN,ru,0.7276861262192336
sincerely,faithfully,person_342,искренне,добросовестно,Russian,RY,ru,0.543266468432588
person,man,person_342,человека,человек,Russian,RN,ru,0.6336283478982233
talk,speak,person_2251,говорить,говорить,Russian,RV,ru,0.3232350280235905
normal,usual,person_2251,нормальной,обычно,Russian,RJ,ru,0.6655429152474881
opportunity,possibility,person_1003,возможность,возможность,Russian,RN,ru,0.5386207948496036
really,extremely,person_1003,действительно,чрезвычайно,Russian,RY,ru,0.5558014765147041
have,make,person_1003,иметь,сделать,Russian,RV,ru,0.5084922458533013
also,then,person_1003,также,затем,Russian,RY,ru,0.6057315499394744
also,then,person_1003,также,затем,Russian,RY,ru,0.6057315499394744
have,make,person_1003,иметь,сделать,Russian,RV,ru,0.5084922458533013
wait,stay,person_1003,подожди,остаться,Russian,RV,ru,0.469911544120114
premises,territory,person_1003,помещения,территории,Russian,RN,ru,0.3652993142393315
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru,0.6962253188628202
fantastical,fantastic,person_350,фантастических,фантастический,Russian,RJ,ru,0.6962253188628202
have,make,person_257,иметь,сделать,Russian,RV,ru,0.5084922458533013
wanted,could,person_257,хотел,мог,Russian,RV,ru,0.5837836335509771
learned,knew,person_257,узнал,знал,Russian,RV,ru,0.574141124054738
work,job,person_257,работы,работу,Russian,RN,ru,0.6114981774463069
talk,tell,person_257,говорить,сказать,Russian,RV,ru,0.28730755938329616
very,so,person_1852,очень,так,Russian,RY,ru,0.5610871495029728
faraway,far,person_1852,далекие,далеко,Russian,RJ,ru,0.39736195694778026
very,too,person_1852,очень,слишком,Russian,RY,ru,0.6522807867428722
ordinary,common,person_1852,обычные,общие,Russian,RJ,ru,0.5370304941836878
get,have,person_1852,получить,иметь,Russian,RV,ru,0.5810301426419245
create,make,person_1852,создать,сделать,Russian,RV,ru,0.5589226161696901
attended,visited,person_458,присутствовал,посетили,Russian,RV,ru,0.548207643557421
think,suppose,person_458,думаю,предположим,Russian,RV,ru,0.699296005270176
made,done,person_458,сделал,сделано,Russian,RV,ru,0.5579313384449447
could,may,person_458,мог,мая,Russian,RV,ru,0.769743853350499
number,amount,person_458,номер,сумма,Russian,RN,ru,0.4708746924399937
attended,seen,person_1494,присутствовал,видел,Russian,RV,ru,0.5058204363224446
holding,making,person_1494,холдинг,делает,Russian,RV,ru,0.4679154884829093
got,go,person_1494,получил,пойти,Russian,RV,ru,0.533918641883987
false,wrong,person_546,ложных,неверной,Russian,RJ,ru,0.5472205889731123
cast,actors,person_546,литой,актеры,Russian,RN,ru,0.5129697529208799
appear,play,person_546,появляются,играть,Russian,RV,ru,0.4638503593335529
enclosed,included,person_546,закрытых,включены,Russian,RJ,ru,0.4570702523364631
